product_id,product_name,variant_sku,variant_name,technical_spec,product_type,unit,stock,pack_quantity,availability,ashkan_url,price,image_1,image_2,product_pack_quantity,variant_count,total_product_stock,product_availability,main_image,display_status
8090022,لگن 12000 زیبا,809002217,لگن زیبا 12000 موکا,12,محصول نهایی,کارتن,73.0,12.0,موجود,https://ashkanplastic.com/product/8090022/,,,,12.0,5,290.0,موجود,,فعال
8090022,لگن 12000 زیبا,809002209,لگن زیبا 12000 وانیلی,12,محصول نهایی,بسته,83.0,12.0,موجود,https://ashkanplastic.com/product/8090022/,,,,12.0,5,290.0,موجود,,فعال
8090032,لگن 2000 زیبا,809003201,لگن زیبا 2000 صورتی,12,محصول نهایی,بسته,61.0,36.0,موجود,https://ashkanplastic.com/product/8090032/,,,,36.0,5,248.0,موجود,,فعال
8090032,لگن 2000 زیبا,809003202,لگن زیبا 2000 طوسی,12,محصول نهایی,بسته,44.0,36.0,موجود,https://ashkanplastic.com/product/8090032/,,,,36.0,5,248.0,موجود,,فعال
8090032,لگن 2000 زیبا,809003207,لگن زیبا 2000 کرپ,12,محصول نهایی,بسته,33.0,36.0,موجود,https://ashkanplastic.com/product/8090032/,,,,36.0,5,248.0,موجود,,فعال
8090032,لگن 2000 زیبا,809003217,لگن زیبا 2000 موکا,12,محصول نهایی,کارتن,44.0,36.0,موجود,https://ashkanplastic.com/product/8090032/,,,,36.0,5,248.0,موجود,,فعال
8090032,لگن 2000 زیبا,809003209,لگن زیبا 2000 وانیلی,12,محصول نهایی,بسته,66.0,36.0,موجود,https://ashkanplastic.com/product/8090032/,,,,36.0,5,248.0,موجود,,فعال
8090030,لگن 4000 زیبا,809003001,لگن زیبا 4000 صورتی,12,محصول نهایی,بسته,2.0,36.0,موجود,https://ashkanplastic.com/product/8090030/,,,,36.0,5,204.0,موجود,,فعال
8090030,لگن 4000 زیبا,809003002,لگن زیبا 4000 طوسی,12,محصول نهایی,بسته,75.0,36.0,موجود,https://ashkanplastic.com/product/8090030/,,,,36.0,5,204.0,موجود,,فعال
8090030,لگن 4000 زیبا,809003007,لگن زیبا 4000 کرپ,12,محصول نهایی,بسته,45.0,36.0,موجود,https://ashkanplastic.com/product/8090030/,,,,36.0,5,204.0,موجود,,فعال
8090030,لگن 4000 زیبا,809003017,لگن زیبا 4000 موکا,12,محصول نهایی,کارتن,36.0,36.0,موجود,https://ashkanplastic.com/product/8090030/,,,,36.0,5,204.0,موجود,,فعال
8090030,لگن 4000 زیبا,809003009,لگن زیبا 4000 وانیلی,12,محصول نهایی,بسته,46.0,36.0,موجود,https://ashkanplastic.com/product/8090030/,,,,36.0,5,204.0,موجود,,فعال
8090028,لگن 6000 زیبا,809002801,لگن زیبا 6000 صورتی,12,محصول نهایی,بسته,2.0,24.0,موجود,https://ashkanplastic.com/product/8090028/,,,,24.0,5,200.0,موجود,,فعال
8090028,لگن 6000 زیبا,809002802,لگن زیبا 6000 طوسی,12,محصول نهایی,بسته,70.0,24.0,موجود,https://ashkanplastic.com/product/8090028/,,,,24.0,5,200.0,موجود,,فعال
8090028,لگن 6000 زیبا,809002807,لگن زیبا 6000 کرپ,12,محصول نهایی,بسته,46.0,24.0,موجود,https://ashkanplastic.com/product/8090028/,,,,24.0,5,200.0,موجود,,فعال
8090028,لگن 6000 زیبا,809002817,لگن زیبا 6000 موکا,12,محصول نهایی,کارتن,41.0,24.0,موجود,https://ashkanplastic.com/product/8090028/,,,,24.0,5,200.0,موجود,,فعال
8090028,لگن 6000 زیبا,809002809,لگن زیبا 6000 وانیلی,12,محصول نهایی,بسته,41.0,24.0,موجود,https://ashkanplastic.com/product/8090028/,,,,24.0,5,200.0,موجود,,فعال
8090026,لگن 8000 زیبا,809002602,لگن زیبا 8000 طوسی,12,محصول نهایی,بسته,51.0,24.0,موجود,https://ashkanplastic.com/product/8090026/,,,,24.0,4,176.0,موجود,,فعال
8090026,لگن 8000 زیبا,809002607,لگن زیبا 8000 کرپ,12,محصول نهایی,بسته,38.0,24.0,موجود,https://ashkanplastic.com/product/8090026/,,,,24.0,4,176.0,موجود,,فعال
8090026,لگن 8000 زیبا,809002617,لگن زیبا 8000 موکا,12,محصول نهایی,کارتن,53.0,24.0,موجود,https://ashkanplastic.com/product/8090026/,,,,24.0,4,176.0,موجود,,فعال
8090026,لگن 8000 زیبا,809002609,لگن زیبا 8000 وانیلی,12,محصول نهایی,بسته,34.0,24.0,موجود,https://ashkanplastic.com/product/8090026/,,,,24.0,4,176.0,موجود,,فعال
8090010,لگن نیما 1,809001010,لگن نیما 1 الوان,12,محصول نهایی,بسته,96.0,36.0,موجود,https://ashkanplastic.com/product/8090010/,,,,36.0,3,96.055556,موجود,,فعال
8090010,لگن نیما 1,809001002,لگن نیما 1 طوسی,12,محصول نهایی,بسته,0.055556,36.0,موجود,https://ashkanplastic.com/product/8090010/,,,,36.0,3,96.055556,موجود,,فعال
8090010,لگن نیما 1,809001007,لگن نیما 1 کرپ,12,محصول نهایی,بسته,0.0,36.0,ناموجود,https://ashkanplastic.com/product/8090010/,,,,36.0,3,96.055556,موجود,,فعال
8090012,لگن نیما 2,809001210,لگن نیما 2 الوان,12,محصول نهایی,بسته,40.0,36.0,موجود,https://ashkanplastic.com/product/8090012/,,,,36.0,1,40.0,موجود,,فعال
8090014,لگن نیما 3,809001401,لگن نیما 3 صورتی,12,محصول نهایی,بسته,1.0,24.0,موجود,https://ashkanplastic.com/product/8090014/,,,,24.0,5,144.0,موجود,,فعال
8090014,لگن نیما 3,809001402,لگن نیما 3 طوسی,12,محصول نهایی,بسته,46.0,24.0,موجود,https://ashkanplastic.com/product/8090014/,,,,24.0,5,144.0,موجود,,فعال
8090014,لگن نیما 3,809001407,لگن نیما 3 کرپ,12,محصول نهایی,بسته,33.0,24.0,موجود,https://ashkanplastic.com/product/8090014/,,,,24.0,5,144.0,موجود,,فعال
