کد,عنوان,مشخصه فنی,ماهیت کالا,واحد سنجش (اصلی),مانده از قبل (اصلی),ابتدای دوره (اصلی),ورودی (اصلی),خروجی (اصلی),مانده (اصلی),تعداد در بسته,کد.1,آدرس,Unnamed: 13,کد جدید,نام,تعداد در بسته.1
557001003,گلدان گلرو 1 (14*15 ) سفید,,محصول نهایی,بسته,0,277,348.875,418.583333,207.291667,24,5570010,https://ashkanplastic.com/product/5570010/,,,,
557002803,گلدان گلرو 10 سفید,,محصول نهایی,بسته,0,121,100,146,75,6,5570028,https://ashkanplastic.com/product/5570028/,,,,
557001203,گلدان گلرو 2 (16*18 ) سفید,,محصول نهایی,بسته,0,112,672.625,689.625,95,24,5570012,https://ashkanplastic.com/product/5570012/,,,,
557001403,گلدان گلرو 3 (19*21 ) سفید,,محصول نهایی,بسته,0,22,1356.083334,1102.083334,276,24,5570014,https://ashkanplastic.com/product/5570014/,,,,
557001603,گلدان گلرو 4 (23*25 ) سفید,,محصول نهایی,بسته,0,323,1852,1965,210,12,5570016,https://ashkanplastic.com/product/5570016/,,,,
557001803,گلدان گلرو 5 (26*30 ) سفید,,محصول نهایی,بسته,0,0,2033.166666,1681.166666,352,12,5570018,https://ashkanplastic.com/product/5570018/,,,,
557002003,گلدان گلرو 6 (31*35 ) سفید,,محصول نهایی,بسته,0,300,1052,1084,268,12,5570020,https://ashkanplastic.com/product/5570020/,,,,
557002203,گلدان گلرو 7 (36*41 ) سفید,,محصول نهایی,بسته,0,84,728.166667,746,66.166667,6,5570022,https://ashkanplastic.com/product/5570022/,,,,
557002403,گلدان گلرو 8 (41*49 ) سفید,,محصول نهایی,بسته,0,222,275.166667,492.166667,5,6,5570024,https://ashkanplastic.com/product/5570024/,,,,
557002603,گلدان گلرو 9 (47*59 ) سفید,,محصول نهایی,بسته,0,48,181.166667,182.166667,47,6,5570026,https://ashkanplastic.com/product/5570026/,,,,
557001303,گلدان گلرو مینی سفید,,محصول نهایی,بسته,0,51,0,21,30,60,5570013,https://ashkanplastic.com/product/5570013/,,,,
557000610,گلدان گلرو نقلی الوان,,محصول نهایی,بسته,0,6,0,4,2,,5570006,https://ashkanplastic.com/product/5570006/,,,,
557001103,گلدان گلرو نقلی سفید,,محصول نهایی,بسته,0,13,0,2,11,96,5570011,https://ashkanplastic.com/product/5570011/,,,,
899001010,گیره آویز صدف الوان,,محصول نهایی,بسته,0,0,855,609,246,72,8990010,https://ashkanplastic.com/product/8990010/,,,,
802001211,لگن 15*10 اصل اشکان کرم,,محصول نهایی,بسته,0,19,0,0,19,,8020012,https://ashkanplastic.com/product/8020012/,,,,
803001601,لگن اپل تاپ 6000 صورتی,,محصول نهایی,بسته,0,0,0.055556,0.055556,0,36,8030016,https://ashkanplastic.com/product/8030016/,,,,
803001602,لگن اپل تاپ 6000 طوسی,,محصول نهایی,بسته,0,4,0,0,4,36,8030016,https://ashkanplastic.com/product/8030016/,,,,
803001803,لگن اپل تاپ 8000 سفید,,محصول نهایی,بسته,0,0,0.041667,0.041667,0,24,8030018,https://ashkanplastic.com/product/8030018/,,,,
803001801,لگن اپل تاپ 8000 صورتی,,محصول نهایی,بسته,0,16,0.041667,0.041667,16,24,8030018,https://ashkanplastic.com/product/8030018/,,,,
803001802,لگن اپل تاپ 8000 طوسی,,محصول نهایی,بسته,0,6,0.041667,0.041667,6,24,8030018,https://ashkanplastic.com/product/8030018/,,,,
809002402,لگن زیبا 10000 طوسی,,محصول نهایی,بسته,0,57,141.083333,149.083333,49,12,8090024,https://ashkanplastic.com/product/8090024/,,,,
809002407,لگن زیبا 10000 کرپ,,محصول نهایی,بسته,0,0,70,23,47,12,8090024,https://ashkanplastic.com/product/8090024/,,,,
809002417,لگن زیبا 10000 موکا,,محصول نهایی,کارتن,0,48,160,166,42,12,8090024,https://ashkanplastic.com/product/8090024/,,,,
809002409,لگن زیبا 10000 وانیلی,,محصول نهایی,بسته,0,56,39.083333,68.083333,27,12,8090024,https://ashkanplastic.com/product/8090024/,,,,
809002201,لگن زیبا 12000 صورتی,,محصول نهایی,بسته,0,4,0,3,1,12,8090022,https://ashkanplastic.com/product/8090022/,,,,
809002202,لگن زیبا 12000 طوسی,,محصول نهایی,بسته,0,0,169,100,69,12,8090022,https://ashkanplastic.com/product/8090022/,,,,
809002207,لگن زیبا 12000 کرپ,,محصول نهایی,بسته,0,13,87,36,64,12,8090022,https://ashkanplastic.com/product/8090022/,,,,
809002217,لگن زیبا 12000 موکا,,محصول نهایی,کارتن,0,0,186.083333,113.083333,73,12,8090022,https://ashkanplastic.com/product/8090022/,,,,
809002209,لگن زیبا 12000 وانیلی,,محصول نهایی,بسته,0,9,122,48,83,12,8090022,https://ashkanplastic.com/product/8090022/,,,,
809003201,لگن زیبا 2000 صورتی,,محصول نهایی,بسته,0,62,0,1,61,36,8090032,https://ashkanplastic.com/product/8090032/,,,,
809003202,لگن زیبا 2000 طوسی,,محصول نهایی,بسته,0,45,50.027778,51.027778,44,36,8090032,https://ashkanplastic.com/product/8090032/,,,,
809003207,لگن زیبا 2000 کرپ,,محصول نهایی,بسته,0,19,30.027778,16.027778,33,36,8090032,https://ashkanplastic.com/product/8090032/,,,,
809003217,لگن زیبا 2000 موکا,,محصول نهایی,کارتن,0,49,50,55,44,36,8090032,https://ashkanplastic.com/product/8090032/,,,,
809003209,لگن زیبا 2000 وانیلی,,محصول نهایی,بسته,0,86,0,20,66,36,8090032,https://ashkanplastic.com/product/8090032/,,,,
809003001,لگن زیبا 4000 صورتی,,محصول نهایی,بسته,0,20,0.027778,18.027778,2,36,8090030,https://ashkanplastic.com/product/8090030/,,,,
809003002,لگن زیبا 4000 طوسی,,محصول نهایی,بسته,0,11,101,37,75,36,8090030,https://ashkanplastic.com/product/8090030/,,,,
809003007,لگن زیبا 4000 کرپ,,محصول نهایی,بسته,0,22,40,17,45,36,8090030,https://ashkanplastic.com/product/8090030/,,,,
809003017,لگن زیبا 4000 موکا,,محصول نهایی,کارتن,0,3,72.027778,39.027778,36,36,8090030,https://ashkanplastic.com/product/8090030/,,,,
809003009,لگن زیبا 4000 وانیلی,,محصول نهایی,بسته,0,20,49,23,46,36,8090030,https://ashkanplastic.com/product/8090030/,,,,
809002801,لگن زیبا 6000 صورتی,,محصول نهایی,بسته,0,10,2,10,2,24,8090028,https://ashkanplastic.com/product/8090028/,,,,
809002802,لگن زیبا 6000 طوسی,,محصول نهایی,بسته,0,11,117,58,70,24,8090028,https://ashkanplastic.com/product/8090028/,,,,
809002807,لگن زیبا 6000 کرپ,,محصول نهایی,بسته,0,0,57,11,46,24,8090028,https://ashkanplastic.com/product/8090028/,,,,
809002817,لگن زیبا 6000 موکا,,محصول نهایی,کارتن,0,3,85,47,41,24,8090028,https://ashkanplastic.com/product/8090028/,,,,
809002809,لگن زیبا 6000 وانیلی,,محصول نهایی,بسته,0,20,47,26,41,24,8090028,https://ashkanplastic.com/product/8090028/,,,,
809002602,لگن زیبا 8000 طوسی,,محصول نهایی,بسته,0,48,85,82,51,24,8090026,https://ashkanplastic.com/product/8090026/,,,,
809002607,لگن زیبا 8000 کرپ,,محصول نهایی,بسته,0,8,59.041667,29.041667,38,24,8090026,https://ashkanplastic.com/product/8090026/,,,,
809002617,لگن زیبا 8000 موکا,,محصول نهایی,کارتن,0,42,95,84,53,24,8090026,https://ashkanplastic.com/product/8090026/,,,,
809002609,لگن زیبا 8000 وانیلی,,محصول نهایی,بسته,0,50,26,42,34,24,8090026,https://ashkanplastic.com/product/8090026/,,,,
809001010,لگن نیما 1 الوان,,محصول نهایی,بسته,0,51,116,71,96,36,8090010,https://ashkanplastic.com/product/8090010/,,,,
809001002,لگن نیما 1 طوسی,,محصول نهایی,بسته,0,0,0.055556,0,0.055556,36,8090010,https://ashkanplastic.com/product/8090010/,,,,
809001007,لگن نیما 1 کرپ,,محصول نهایی,بسته,0,0,0.027778,0.027778,0,36,8090010,https://ashkanplastic.com/product/8090010/,,,,
809001210,لگن نیما 2 الوان,,محصول نهایی,بسته,0,51,59,70,40,36,8090012,https://ashkanplastic.com/product/8090012/,,,,
809001401,لگن نیما 3 صورتی,,محصول نهایی,بسته,0,3,0,2,1,24,8090014,https://ashkanplastic.com/product/8090014/,,,,
809001402,لگن نیما 3 طوسی,,محصول نهایی,بسته,0,10,75,39,46,24,8090014,https://ashkanplastic.com/product/8090014/,,,,
809001407,لگن نیما 3 کرپ,,محصول نهایی,بسته,0,0,34,1,33,24,8090014,https://ashkanplastic.com/product/8090014/,,,,
809001417,لگن نیما 3 موکا,,محصول نهایی,بسته,0,0,65.041667,35.041667,30,24,8090014,https://ashkanplastic.com/product/8090014/,,,,
809001409,لگن نیما 3 وانیلی,,محصول نهایی,بسته,0,19,35,20,34,24,8090014,https://ashkanplastic.com/product/8090014/,,,,
809001601,لگن نیما 4 صورتی,,محصول نهایی,بسته,0,0,0.083334,0.083334,0,24,8090016,https://ashkanplastic.com/product/8090016/,,,,
809001602,لگن نیما 4 طوسی,,محصول نهایی,بسته,0,18,137,73,82,24,8090016,https://ashkanplastic.com/product/8090016/,,,,
809001607,لگن نیما 4 کرپ,,محصول نهایی,بسته,0,0,73,7,66,24,8090016,https://ashkanplastic.com/product/8090016/,,,,
809001617,لگن نیما 4 موکا,,محصول نهایی,بسته,0,0,141.041667,64.041667,77,24,8090016,https://ashkanplastic.com/product/8090016/,,,,
809001609,لگن نیما 4 وانیلی,,محصول نهایی,بسته,0,38,55,31,62,24,8090016,https://ashkanplastic.com/product/8090016/,,,,
809001802,لگن نیما 5 طوسی,,محصول نهایی,بسته,0,2,172,88,86,12,8090018,https://ashkanplastic.com/product/8090018/,,,,
809001807,لگن نیما 5 کرپ,,محصول نهایی,بسته,0,0,58.083333,13.083333,45,12,8090018,https://ashkanplastic.com/product/8090018/,,,,
809001817,لگن نیما 5 موکا,,محصول نهایی,بسته,0,0,173.083333,103.083333,70,12,8090018,https://ashkanplastic.com/product/8090018/,,,,
809001809,لگن نیما 5 وانیلی,,محصول نهایی,بسته,0,43,55.25,39.083333,59.166667,12,8090018,https://ashkanplastic.com/product/8090018/,,,,
809002001,لگن نیما 6 صورتی,,محصول نهایی,بسته,0,1,0,1,0,12,8090020,https://ashkanplastic.com/product/8090020/,,,,
809002002,لگن نیما 6 طوسی,,محصول نهایی,بسته,0,6,102.25,60.25,48,12,8090020,https://ashkanplastic.com/product/8090020/,,,,
