کد,عنوان,مشخصه فنی,ماهیت کالا,واحد سنجش (اصلی),مانده از قبل (اصلی),ابتدای دوره (اصلی),ورودی (اصلی),خروجی (اصلی),مانده (اصلی),تعداد در بسته,کد.1,آدرس,Unnamed: 13,کد جدید,نام,تعداد در بسته.1
821011602,وان بیضی 90 سیب طوسی,,محصول نهایی,بسته,0,39,70,63,46,6,8210116,https://ashkanplastic.com/product/8210116/,,,,
821011607,وان بیضی 90 سیب کرپ,,محصول نهایی,بسته,0,69,16.333334,25.166667,60.166667,6,8210116,https://ashkanplastic.com/product/8210116/,,,,
821011609,وان بیضی 90 سیب وانیلی,,محصول نهایی,بسته,0,54,0,40,14,6,8210116,https://ashkanplastic.com/product/8210116/,,,,
821021803,وان بیضی 95 سیب سفید,,محصول نهایی,بسته,0,53,79.333334,88.333334,44,6,8210218,https://ashkanplastic.com/product/8210218/,,,,
821021801,وان بیضی 95 سیب صورتی,,محصول نهایی,بسته,0,0,0.166667,0.166667,0,6,8210218,https://ashkanplastic.com/product/8210218/,,,,
821021802,وان بیضی 95 سیب طوسی,,محصول نهایی,بسته,0,58,112.166668,121.166668,49,6,8210218,https://ashkanplastic.com/product/8210218/,,,,
821021807,وان بیضی 95 سیب کرپ,,محصول نهایی,بسته,0,51,51.666667,58.5,44.166667,6,8210218,https://ashkanplastic.com/product/8210218/,,,,
821021811,وان بیضی 95 سیب کرم,,محصول نهایی,بسته,0,0,0.166667,0.166667,0,6,8210218,https://ashkanplastic.com/product/8210218/,,,,
821021809,وان بیضی 95 سیب وانیلی,,محصول نهایی,بسته,0,51,50.333333,68,33.333333,6,8210218,https://ashkanplastic.com/product/8210218/,,,,
829021001,وان بیضی کلاسیک 501 صورتی,,محصول نهایی,بسته,0,0,0.041667,0.041667,0,,8290210,https://ashkanplastic.com/product/8290210/,,,,
829021007,وان بیضی کلاسیک 501 کرپ,,محصول نهایی,بسته,0,0,0.041667,0.041667,0,,8290210,https://ashkanplastic.com/product/8290210/,,,,
809021202,وان بیضی کلاسیک 503 طوسی,,محصول نهایی,بسته,0,0,0.083333,0.083333,0,,8090212,https://ashkanplastic.com/product/8090212/,,,,
823011001,وان گرد 2 دسته اپل تاپ 1 صورتی,,محصول نهایی,بسته,0,18,0,1,17,12,8230110,https://ashkanplastic.com/product/8230110/,,,,
823011002,وان گرد 2 دسته اپل تاپ 1 طوسی,,محصول نهایی,بسته,0,52,0,18,34,12,8230110,https://ashkanplastic.com/product/8230110/,,,,
823011007,وان گرد 2 دسته اپل تاپ 1 کرپ,,محصول نهایی,بسته,0,55,0,8,47,12,8230110,https://ashkanplastic.com/product/8230110/,,,,
823011009,وان گرد 2 دسته اپل تاپ 1 وانیلی,,محصول نهایی,بسته,0,61,0.083333,12.083333,49,12,8230110,https://ashkanplastic.com/product/8230110/,,,,
823011203,وان گرد 2 دسته اپل تاپ 2 سفید,,محصول نهایی,بسته,0,65,0,2,63,12,8230112,https://ashkanplastic.com/product/8230112/,,,,
823011201,وان گرد 2 دسته اپل تاپ 2 صورتی,,محصول نهایی,بسته,0,23,0,0,23,12,8230112,https://ashkanplastic.com/product/8230112/,,,,
823011202,وان گرد 2 دسته اپل تاپ 2 طوسی,,محصول نهایی,بسته,0,61,0.083333,26.083333,35,12,8230112,https://ashkanplastic.com/product/8230112/,,,,
823011207,وان گرد 2 دسته اپل تاپ 2 کرپ,,محصول نهایی,بسته,0,57,0,8,49,12,8230112,https://ashkanplastic.com/product/8230112/,,,,
823011211,وان گرد 2 دسته اپل تاپ 2 کرم,,محصول نهایی,بسته,0,7,0,1,6,12,8230112,https://ashkanplastic.com/product/8230112/,,,,
823011209,وان گرد 2 دسته اپل تاپ 2 وانیلی,,محصول نهایی,بسته,0,55,0,18,37,12,8230112,https://ashkanplastic.com/product/8230112/,,,,
823011403,وان گرد 2 دسته اپل تاپ 3 سفید,,محصول نهایی,بسته,0,65,0,10,55,6,8230114,https://ashkanplastic.com/product/8230114/,,,,
823011401,وان گرد 2 دسته اپل تاپ 3 صورتی,,محصول نهایی,بسته,0,8,0.166667,1,7.166667,6,8230114,https://ashkanplastic.com/product/8230114/,,,,
823011402,وان گرد 2 دسته اپل تاپ 3 طوسی,,محصول نهایی,بسته,0,83,0.166667,39,44.166667,6,8230114,https://ashkanplastic.com/product/8230114/,,,,
823011407,وان گرد 2 دسته اپل تاپ 3 کرپ,,محصول نهایی,بسته,0,67,0.166667,12.166667,55,6,8230114,https://ashkanplastic.com/product/8230114/,,,,
823011409,وان گرد 2 دسته اپل تاپ 3 وانیلی,,محصول نهایی,بسته,0,63,0,27,36,6,8230114,https://ashkanplastic.com/product/8230114/,,,,
829511001,وان گرد 2 دسته بزرگ صورتی,,محصول نهایی,بسته,0,25,0,9,16,12,8295110,https://ashkanplastic.com/product/8295110/,,,,
829511009,وان گرد 2 دسته بزرگ وانیلی,,محصول نهایی,بسته,0,1,0,0,1,12,8295110,https://ashkanplastic.com/product/8295110/,,,,
823012004,وان گرد 4 دسته اپل تاپ 4 آبی,,محصول نهایی,بسته,0,0,1,1,0,6,8230120,https://ashkanplastic.com/product/8230120/,,,,
823012003,وان گرد 4 دسته اپل تاپ 4 سفید,,محصول نهایی,بسته,0,59,15,23,51,6,8230120,https://ashkanplastic.com/product/8230120/,,,,
823012002,وان گرد 4 دسته اپل تاپ 4 طوسی,,محصول نهایی,بسته,0,50,71,75,46,6,8230120,https://ashkanplastic.com/product/8230120/,,,,
823012007,وان گرد 4 دسته اپل تاپ 4 کرپ,,محصول نهایی,بسته,0,52,25,14,63,6,8230120,https://ashkanplastic.com/product/8230120/,,,,
823012009,وان گرد 4 دسته اپل تاپ 4 وانیلی,,محصول نهایی,بسته,0,51,0,48,3,6,8230120,https://ashkanplastic.com/product/8230120/,,,,
823012203,وان گرد 4 دسته اپل تاپ 5 سفید,,محصول نهایی,بسته,0,39,89,108,20,4,8230122,https://ashkanplastic.com/product/8230122/,,,,
823012202,وان گرد 4 دسته اپل تاپ 5 طوسی,,محصول نهایی,بسته,0,67,155.25,216.25,6,4,8230122,https://ashkanplastic.com/product/8230122/,,,,
823012207,وان گرد 4 دسته اپل تاپ 5 کرپ,,محصول نهایی,بسته,0,56,51,54,53,4,8230122,https://ashkanplastic.com/product/8230122/,,,,
823012209,وان گرد 4 دسته اپل تاپ 5 وانیلی,,محصول نهایی,بسته,0,39,65,90,14,4,8230122,https://ashkanplastic.com/product/8230122/,,,,
829011003,وان گرد 4 دسته سفید,,محصول نهایی,بسته,0,46,0,41,5,6,8290110,https://ashkanplastic.com/product/8290110/,,,,
829611003,وان گرد 4 دسته سوپر سفید,,محصول نهایی,بسته,0,46,133,115,64,6,8296110,https://ashkanplastic.com/product/8296110/,,,,
829611002,وان گرد 4 دسته سوپر طوسی,,محصول نهایی,بسته,0,56,205.833335,154.666668,107.166667,6,8296110,https://ashkanplastic.com/product/8296110/,,,,
829611007,وان گرد 4 دسته سوپر کرپ,,محصول نهایی,بسته,0,56,76,66,66,6,8296110,https://ashkanplastic.com/product/8296110/,,,,
829611009,وان گرد 4 دسته سوپر وانیلی,,محصول نهایی,بسته,0,57,70.333334,61.166667,66.166667,6,8296110,https://ashkanplastic.com/product/8296110/,,,,
829011001,وان گرد 4 دسته صورتی,,محصول نهایی,بسته,0,25,0.333333,9.333333,16,6,8290110,https://ashkanplastic.com/product/8290110/,,,,
829011002,وان گرد 4 دسته طوسی,,محصول نهایی,بسته,0,78,1.333333,76.333333,3,6,8290110,https://ashkanplastic.com/product/8290110/,,,,
829011007,وان گرد 4 دسته کرپ,,محصول نهایی,بسته,0,59,0,17,42,6,8290110,https://ashkanplastic.com/product/8290110/,,,,
829011011,وان گرد 4 دسته کرم,,محصول نهایی,بسته,0,3,0,3,0,6,8290110,https://ashkanplastic.com/product/8290110/,,,,
829311003,وان گرد 4 دسته مینی سوپر سفید,,محصول نهایی,بسته,0,38,40.333334,78.333334,0,6,8293110,https://ashkanplastic.com/product/8293110/,,,,
829311001,وان گرد 4 دسته مینی سوپر صورتی,,محصول نهایی,بسته,0,26,0.166667,5.166667,21,6,8293110,https://ashkanplastic.com/product/8293110/,,,,
829311002,وان گرد 4 دسته مینی سوپر طوسی,,محصول نهایی,بسته,0,42,146.333335,98.833335,89.5,6,8293110,https://ashkanplastic.com/product/8293110/,,,,
829311007,وان گرد 4 دسته مینی سوپر کرپ,,محصول نهایی,بسته,0,42,68,48,62,6,8293110,https://ashkanplastic.com/product/8293110/,,,,
829311009,وان گرد 4 دسته مینی سوپر وانیلی,,محصول نهایی,بسته,0,38,10,37,11,6,8293110,https://ashkanplastic.com/product/8293110/,,,,
829011009,وان گرد 4 دسته وانیلی,,محصول نهایی,بسته,0,57,0,22,35,6,8290110,https://ashkanplastic.com/product/8290110/,,,,
823041001,وان مستطیل اپل تاپ 1 صورتی,,محصول نهایی,بسته,0,22,0,22,0,12,8230410,https://ashkanplastic.com/product/8230410/,,,,
823041007,وان مستطیل اپل تاپ 1 کرپ,,محصول نهایی,بسته,0,2,0.5,2.5,0,12,8230410,https://ashkanplastic.com/product/8230410/,,,,
