sku_variant,product_name,technical_spec,product_type,unit,opening_balance_previous,period_opening,inbound,outbound_or_value,balance,pack_quantity,product_code,product_url
361701010,جا اسکاجی دو قلوی سیب الوان,12,محصول نهایی,بسته,0,54,348,78500,1,48,3617010,https://ashkanplastic.com/product/3617010/
361701001,جا اسکاجی دو قلوی سیب صورتی,12,محصول نهایی,بسته,0,0,0.729166,78500,0,48,3617010,https://ashkanplastic.com/product/3617010/
361701002,جا اسکاجی دو قلوی سیب طوسی,12,محصول نهایی,بسته,0,0,0.1875,78500,0,48,3617010,https://ashkanplastic.com/product/3617010/
361701009,جا اسکاجی دو قلوی سیب وانیلی,12,محصول نهایی,بسته,0,0,0.020833,78500,0,48,3617010,https://ashkanplastic.com/product/3617010/
419001010,جا تخم مرغی 15 خانه مزرعه الوان,12,محصول نهایی,کارتن,0,0,362,133500,292,18,4190010,https://ashkanplastic.com/product/4190010/
419001003,جا تخم مرغی 15 خانه مزرعه سفید,12,محصول نهایی,کارتن,0,132,0,133500,0,18,4190010,https://ashkanplastic.com/product/4190010/
419001008,جا تخم مرغی 15 خانه مزرعه شفاف,12,محصول نهایی,کارتن,0,125,0,133500,93,18,4190010,https://ashkanplastic.com/product/4190010/
419001002,جا تخم مرغی 15 خانه مزرعه طوسی,12,محصول نهایی,کارتن,0,190,0.055556,133500,0,18,4190010,https://ashkanplastic.com/product/4190010/
419001007,جا تخم مرغی 15 خانه مزرعه کرپ,12,محصول نهایی,کارتن,0,0,0.444444,133500,0,18,4190010,https://ashkanplastic.com/product/4190010/
419001017,جا تخم مرغی 15 خانه مزرعه موکا,12,محصول نهایی,کارتن,0,52,0,133500,0,18,4190010,https://ashkanplastic.com/product/4190010/
379001010,جا صابونی آنالیا الوان,12,محصول نهایی,بسته,0,114,116,45000,70,96,3790010,https://ashkanplastic.com/product/3790010/
379001004,جا صابونی آنالیا آبی,12,محصول نهایی,بسته,0,0,0.010417,45000,0,96,3790010,https://ashkanplastic.com/product/3790010/
371091010,جا صابونی سیب شفاف الوان,12,محصول نهایی,بسته,0,205,437,60500,182,72,3710910,https://ashkanplastic.com/product/3710910/
371091007,جا صابونی سیب شفاف کرپ,12,محصول نهایی,بسته,0,0,0.013889,60500,0,72,3710910,https://ashkanplastic.com/product/3710910/
379001410,جا صابونی نگین دار الوان,12,محصول نهایی,بسته,0,82,182,37500,73,96,3790014,https://ashkanplastic.com/product/3790014/
409001010,جا قاشقی آویز گشنیز الوان,12,محصول نهایی,بسته,0,0,0.027778,73500,0,30,4090010,https://ashkanplastic.com/product/4090010/
409001001,جا قاشقی آویز گشنیز صورتی,12,محصول نهایی,بسته,0,59,0.055556,73500,24,30,4090010,https://ashkanplastic.com/product/4090010/
